创新性	是否具有某领域的开创性、专利						
技术	自主实现、使用技术先进性、生态系统完善程度、支持平台、技术团队						
应用面	如仅局限于数字货币的功能则得分较低，应用面的优劣（主观性较大）						
得分	创新性+技术+应用面						
	备注：1.笔者在做此份评分时查阅了大量的原始资料，请读者注意评分具有较大主观性（建议读者使用时划分四个档次，各档次间排名差距和大众标准将会吻合许多），评分标准如上所示。						
	2.单纯的衍生币由于仅有货币功能，所以应用面一项得分会较低（0～1）						
	3.如发现错误或不准确欢迎在评论中留言，笔者会查阅更新						
	4.NXT AE平台资产（MMNXT、NOXT、UNITY）						
以太坊作为参考标准，并不是说以太坊没有缺陷（例如其区块链效率低下）							
---------------------------------------------------------------------------------------------------------------------------------------------------
【评分排序，版本16-6-22，可以按Ctrl+F在浏览器上快速搜索】

Coin	得分	创新性	技术	应用面	特色
ETH	30	10	10	10	4	重大创新：智能合约，想象空间无限
LSK	30	10	10	10	4	去中心化应用开发平台，基于Javascript开发，相较于ETH私有脚本，更容易为开发者接受。
BTS	24	9	8	7	3	金融平台、锚定机制（具体细节不清楚）。具体来说在BTS上有众多比特资产，例如BITS、BITCNY、BITUSD。那么BTS提供了比特资产的交易功能，如卖空、看涨期权等。
AMP	21	7	6	8	3	应用领域：社交（应用于社交网络的数字货币）
FCT	20	7	6	7	4	是一个二代币，利用了比特币的区块链技术来革新商业社会和政府部门的数据管理和数据记录方式，主要有各种各样应用程序的开发，包括审计系统，医疗信息记录，供应链管理，投票系统，财产契据，法律应用，金融系统等。开发者能够创造新的应用程序，并把数据保存在区块链上面，同时不用受到直接把数据写入比特币区块链的各种限制：例如写入的数据速度，成本，大小等限制。
XCR	20	7	7	6	2	技术介绍和文档资料非常齐全，这不是一个垃圾币。旨在构建一个功能完备的去中心化JS应用的平台，开发者可以利用这个由加密货币驱动的系统，来开发， 发布，分发去中心化的应用，并从中赢利，该系统提供了定制区块链，智能合约，云存储，以及节点运算， 等一体化的行业解决方案。
BLOCK	19	7	6	6	2	作为Paas云整合其他区块链，使每个人的应用（如手机）都可以作为服务出租
MAID	19	7	6	6	4	应用领域：分布式存储（功能与SC类似）
STR	18	5	8	5	3	团队组成一流，其功能与XRP类似，与普通衍生币最大的区别在于普通衍生币和法币之间的兑换仍然需要中心化的交易所结算。而STR本身就是与法币结算的去中心化的结算所。
NXT	17	5	7	5	4	第一个采用POS的货币，全新的代码架构，RoadMap清晰，且在稳步推进。相较于比特币区块产生速度快，抗DDOS攻击，抗51%攻击，理论交易1万/秒,基本形成NXT的生态环境，并上线以NXT作为结算货币的去中心化资产交易平台NXT AE。缺点是IPO过于集中。
XRP	16	5	6	5	4	与其他衍生币不同的是，衍生币与法币兑换需要经过中心化的交易所清算，而XRP本身就是去中心化的结算所，可以支持各种法币之间的兑换。
SC	15	5	5	5	4	用户将自己的硬盘连接到Sia网络，出租以换取货币，使用者付费使用Sia网络中的磁盘空间。
SJCX	15	5	5	5	3	与SC类似，用户将自己的硬盘连接到Sia网络，出租以换取货币，使用者付费使用Sia网络中的磁盘空间。
EXP	13	5	4	4	4	智能合约平台
RDD	13	5	4	4	1	一种应用于社交网络的货币，独创的POSV算法，节能环保。区块产生时间1分钟
XCP	13	6	4	3	4	这个货币基于BTC区块链，在之上封装出XCP协议。除基本货币之外，可以实现高级功能，如发行资产（股票）、赌博、差价合约等功能。
QORA	11	4	4	3	2	一种二代币，自主研发的币种，路线图包括：数据存储，加密聊天、投票系统、自动转账等，技术栈较为完善。
VIA	11	4	4	3	1	这个货币的作者想通过这个货币提出解决比特币的区块链膨胀问题和交易速度慢的问题（25倍BTC交易速度）的方案。同时还有基于VIA区块链之上的ClearingHouse协议（类似于XCP基于BTC协议之上封装出高级协议），可以自行发布资产。这个货币实验性发布的资产就是XCH。其实是想重建一个优于比特币的区块链，及基于之上的协议层应用。
XMR	11	5	6	0	3	解决比特币：安全、匿名性（CryptoNote算法，该技术通过数字环签名提供更好的匿名性）、重复消费问题，衍生币，但不是基于BTC基础上构建的
NBT	11	4	4	3	3	一种对标PPC的衍生币，NBT是NU系统中的货币，NRS则是NU系统中的资产。
FIBRE	10	3	4	3	0	除了货币本身，配套环境设想完善，提供了匿名的Fibre网络和Fibre操作系统
XEM	10	4	5	1	3	衍生币：有些创新，代码重新构建。特色有：1.核心是POI算法，一种基于评估个体贡献在群体中的经济活跃度的共识算法 2.多重签名  3.完整的点对点安全系统加密信息系统和基于Eigentrust++算法的声望系统
GAME/GMC	9	3	3	3	1	应用于游戏中的币，由游戏玩家开发，并为游戏玩家和游戏开发人员所用的货币。特点1.非常容易地购买游戏中的商品和服务  2.可以兑换成法币 3.为游戏开发人员提供一个合理使用的货币化方案。  总的感觉，从网站和文档资料显示，这个币的作者是在用心做
XDN	9	4	4	1	2	衍生币一种，1.具有良好的隐私性，对交易信息加密2.防止ASIC矿机挖矿 3.加密即时通信功能等
DASH	8	4	4	0	2	衍生币：匿名性、交易迅速
PPC	8	4	4	0	4	衍生币：有些创新，基于BTC。1.原创了POS利息体系，防止通货紧缩。2.证明方式POS与POW 3.引入币龄的概念
SYS	8	2	4	2	0	技术栈较为完整。具有如下功能1，通过区块链来打造去中心化的市场；2，提供数据存贮3,提供数字验证 4，通过全球性的合并挖矿，能够保障其他scrypt发行。
GEO	7	2	3	2	0	数据货币在地理信息系统中的应用，提供一个地图APP，用户可以将货币仍在某点，让别人去找，也可以自己去找别人扔下的货币
SDC	7	2	3	2	3	该货币旨在解决BTC的匿名性，使用匿名加密传输协议。本身也是一种衍生币
XC	7	3	3	1	0	有些小创新，首次使用X11算法的虚拟币，第一个支持多帐户匿名转账，可以将多个用户的交易合并成一笔交易处理。计划开发区块链存储功能。目前代码更新还比较活跃。
XCN	7	3	2	2	0	衍生币：基于BTC源码改进的一个币种，稍微有点创新。主要是：迷你区块链计划（可以遗忘较老的交易记录，减少钱包同步的数据大小）、提款限额（可以设置对某个地址转账限额）、微交易、多重签名等改进。
XVC	7	4	3	0	3	衍生币：有些创新，并非克隆的BTC源码。1.使用三层加密，使交易更具匿名性。2.独创的ZeroTime,例如转账收到货比后，一般货币需要等待一段时间确认后才能使用，这个货币可以立即使用。
FLT	6	3	3	0	1	作为一个单纯的衍生币，提出通过交易证明增强了电子货币的安全性，具有一定的创新性。
GEMZ	6	2	2	2	0	指出当前的即时通信工具运营商使用用户数据获利，因此开发了这个可以使用具有货币功能的聊天APP，没有中心化的服务器可以获取用户聊天数据。
GRC	6	2	2	2	2	提出挖矿不再是做无意义的HASH运算，而是将自己CPU/GPU/ASIC算力用于解决科学问题，并获得货币
LTC	6	2	3	1	3	一种具有影响力的衍生币，第一个采用新的挖矿算法，与BTC的主要区别是确认速度快。
1CR	5	2	1	2	0	应用于游戏中的币，特色不是太明显，源码1年没有更新
ADN	5	3	2	0	0	衍生币：这个货币的主要特色是Script算法专门针对GPU优化，适合使用GPU挖矿。其他参数与LTC类似
BBR	5	3	2	0	1	衍生币：主要特色匿名交易
BCY	5	2	1	2	0	网络游戏中的币，可以将游戏中的资产变现（XCP上的资产）
C2	5	2	2	1	0	衍生币：旨在建立一个在各种游戏中通用的货币，并可在现实中使用
